cell,species,cell_types,genes,genome
1,Desulfurobacteriaceae_1,1,2628,
2,Hydrogenothermaceae_2,1,1931.5,
3,Aquificaceae_3,1,1613,
4,Spiroplasmataceae_4,1,1344.13,
5,Spiroplasmataceae_5,1,1344.13,
6,Mycoplasmataceae_6,1,779.14,
7,Mycoplasmataceae_7,1,779.14,
8,Spiroplasmataceae_8,1,1344.13,
9,Spiroplasmataceae_9,1,1344.13,
10,Spiroplasmataceae_10,1,1344.13,
11,Spiroplasmataceae_11,1,1344.13,
12,Entomoplasmataceae_12,1,726,
13,Spiroplasmataceae_13,1,1344.13,
14,Spiroplasmataceae_14,1,1344.13,
15,Spiroplasmataceae_15,1,1344.13,
16,Spiroplasmataceae_16,1,1344.13,
17,Mycoplasmoidaceae_17,1,,
18,Mycoplasmataceae_18,1,779.14,
19,Acholeplasmataceae_19,1,238.56,
20,Anaeroplasmataceae_20,1,,
21,Thermolithobacteraceae_21,1,,
22,Tissierellaceae_22,1,,
23,Tissierellaceae_23,1,,
24,Tissierellaceae_24,1,,
25,Peptoniphilaceae_25,1,1913,
26,Gottschalkiaceae_26,1,2709,
27,Acidaminococcaceae_27,1,2174,
28,Sporomusaceae_28,1,4951,
29,Veillonellaceae_29,1,2154.5,
30,Selenomonadaceae_30,1,2366,
31,Turicibacteraceae_31,1,,
32,Sporolactobacillaceae_32,1,,
33,Sporolactobacillaceae_33,1,,
34,Bacillales_Family_X_Incertae_Sedis_34,1,,
35,Paenibacillaceae_35,1,5591.28,
36,Paenibacillaceae_36,1,5591.28,
37,Bacillaceae_37,1,4430.76,
38,Thermoactinomycetaceae_38,1,,
39,Listeriaceae_39,1,2994.8,
40,Staphylococcaceae_40,1,2561.5,
41,Carnobacteriaceae_41,1,,
42,Carnobacteriaceae_42,1,,
43,Carnobacteriaceae_43,1,,
44,Enterococcaceae_44,1,2760.43,
45,Enterococcaceae_45,1,2760.43,
46,Streptococcaceae_46,1,2111.17,
47,Carnobacteriaceae_47,1,,
48,Aerococcaceae_48,1,1757.5,
49,Lactobacillaceae_49,1,2360.25,
50,Alicyclobacillaceae_50,1,3318,
51,Planococcaceae_51,1,3649,
52,Erysipelotrichaceae_52,1,2369,
53,Coprobacillaceae_53,1,,
54,Thermoanaerobacterales_Family_III_Incertae_Sedis_54,1,,
55,Thermoanaerobacteraceae_55,1,2619.75,
56,Thermoanaerobacterales_Family_III_Incertae_Sedis_56,1,,
57,Thermoanaerobacterales_Family_III_Incertae_Sedis_57,1,,
58,Thermoanaerobacterales_Family_IV_Incertae_Sedis_58,1,,
59,Thermosediminibacteraceae_59,1,2348,
60,Tepidanaerobacteraceae_60,1,2727.67,
61,Clostridiales_Family_XVI_Incertae_Sedis_61,1,,
62,Gracilibacteraceae_62,1,,
63,Syntrophomonadaceae_63,1,,
64,Proteinivoraceae_64,1,,
65,Clostridiales_Family_XVII_Incertae_Sedis_65,1,,
66,Desulfallaceae_66,1,,
67,Heliobacteriaceae_67,1,,
68,Eubacteriaceae_68,1,2936.5,
69,Eubacteriaceae_69,1,,
70,Peptostreptococcaceae_70,1,3150.33,
71,Oscillospiraceae_71,1,3462.55,
72,Lachnospiraceae_72,1,,
73,Eubacteriales_Family_XIII_Incertae_Sedis_73,1,,
74,Symbiobacteriaceae_74,1,3518,
75,Peptococcaceae_75,1,3931.64,
76,Clostridiaceae_76,1,4061.38,
77,Eubacteriales_Family_XII_Incertae_Sedis_77,1,,
78,Eubacteriales_Family_XIII_Incertae_Sedis_78,1,,
79,Eubacteriales_Family_XIII_Incertae_Sedis_79,1,,
80,Vallitaleaceae_80,1,,
81,Defluviitaleaceae_81,1,,
82,Thermohalobacteraceae_82,1,,
83,Christensenellaceae_83,1,2924,
84,Caldicoprobacteraceae_84,1,,
85,Halanaerobiaceae_85,1,2306,
86,Halobacteroidaceae_86,1,2535.5,
87,Syntrophomonadaceae_87,1,,
88,Natranaerobiaceae_88,1,2970,
89,Gloeomargaritaceae_89,1,,
90,Chroococcaceae_90,1,,
91,Geminocystaceae_91,1,,
92,Chroococcaceae_92,1,,
93,Aphanothecaceae_93,1,,
94,Microcystaceae_94,1,6360,
95,Gomphosphaeriaceae_95,1,,
96,Cyanothrichaceae_96,1,,
97,Coelosphaeriaceae_97,1,,
98,Prochlorococcaceae_98,1,,
99,Trichocoleusaceae_99,1,,
100,Synechococcaceae_100,1,3072.33,
101,Merismopediaceae_101,1,,
102,Prochloraceae_102,1,1933,
103,Merismopediaceae_103,1,,
104,Chamaesiphonaceae_104,1,6427,
105,Acaryochloridaceae_105,1,,
106,Geminocystaceae_106,1,,
